2015-08-02 13:11:51 : 13:11| 1655|     8|   1227|   1000|      0| 10|1| 11000| 11000|   0|G2|
2015-08-02 13:29:17 : 13:29| 1665|     4|    397|  10558|      0|  5|1| 11000| 11000|   0|G2|
2015-08-02 13:41:19 : 13:41| 1670|    17|   1000|   1000|      0|  9|1| 11000| 11000|   0|G2|
2015-08-02 13:44:53 : 13:44| 1679|     5|   1000|   1000|      0|  6|1| 11000| 11000|   0|G2|
2015-08-02 13:55:29 : 13:55| 1685|     3|   1000|   1000|      0| 10|1| 11000| 11000|   0|G2|
2015-08-02 14:22:23 : 14:22| 1695|    73|   1000|   1284|      0|  4|1| 11000| 11000|   0|G2|
2015-08-02 14:30:54 : 14:30| 1699|    19|   1000|   1000|      0|  5|1| 11000| 11000|   0|G2|
2015-08-02 14:34:17 : 14:34| 1704|    16|   1000|   2053|      0|  4|1| 11000| 11000|   0|G2|
2015-08-02 14:37:07 : 14:37| 1708|    10|   1000|   1000|      0|  5|1| 11000| 11000|   0|G2|
2015-08-02 14:40:05 : 14:40| 1713|    10|   1000|   4203|      0| 10|1| 11000| 11000|   0|G2|
2015-08-02 14:44:00 : 14:44| 1723|     6|   1000|   1000|      6|  7|1| 11000| 11000|   0|G2|
2015-08-02 14:54:52 : 14:54| 1730|    22|   1044|   1000|      0|  8|1| 11000| 11000|   0|G2|
2015-08-02 14:57:18 : 14:57| 1738|     7|   1160|   1000|      0|  4|1| 11000| 11000|   0|G2|
2015-08-02 15:02:34 : 15:02| 1742|    35|   1000|   1255|      0|  6|1| 11000| 11000|   0|G2|
2015-08-02 15:06:24 : 15:06| 1748|    22|   1000|   1000|      0|  4|1| 11000| 11000|   0|G2|
2015-08-02 15:10:31 : 15:10| 1752|    26|   1948|   1000|      0|  5|1| 11000| 11000|   0|G2|
2015-08-02 15:18:00 : 15:17| 1757|    63|   1000|   1000|      0| 11|1| 11000| 11000|   0|G2|
2015-08-02 15:21:49 : 15:21| 1768|     3|    900|   4178|     15|  7|1| 11000| 11000|   0|G2|
